uniqueid,healthid,uploadtime,recordtime,externalid,height,weight,age,gender,wear,wrist,airbag
d427d238f06445a0be6cd0cac08b3c65_HNU21012_F0:FA:C7:49:66:B1,d427d238f06445a0be6cd0cac08b3c65,2026-07-24 11:23:36,2026-07-24 11:23:36,HNU21012,160,57,24,女,左手佩戴,150,M
da7de757de22487d88d58553ec2a2166_HNU21017_F0:FA:C7:49:6A:8B,da7de757de22487d88d58553ec2a2166,2026-07-24 00:52:13,2026-07-24 00:52:13,HNU21017,166,53,23,女,左手佩戴,148,M
d5364f2506d0487b9c3a05939d5f891d_HNU21016_F0:FA:C7:49:68:B5,d5364f2506d0487b9c3a05939d5f891d,2026-07-23 19:06:02,2026-07-23 19:06:02,HNU21016,163,55,24,女,左手佩戴,150,M
45a6f0b98c984c9e9e94cef60e9347c0_HNU21008_F0:FA:C7:49:66:90,45a6f0b98c984c9e9e94cef60e9347c0,2026-07-23 09:24:56,2026-07-23 09:24:56,HNU21008,177,103,26,男,左手佩戴,152,M
05d6fc6ae8e1437f968a9570471e7f74_HNU21022_F0:FA:C7:49:67:DF,05d6fc6ae8e1437f968a9570471e7f74,2026-07-22 23:41:23,2026-07-22 23:41:23,HNU21022,160,61,25,女,左手佩戴,150,M
fa66ba005b594f22bd0f054d3ef5af23_HNU21021_F0:FA:C7:49:5F:98,fa66ba005b594f22bd0f054d3ef5af23,2026-07-22 20:16:37,2026-07-22 20:16:37,HNU21021,175,75,22,男,左手佩戴,150,M
2cd18021c05a42c2a8a38d5fa6c39570_HNU21006_F0:FA:C7:49:67:DB,2cd18021c05a42c2a8a38d5fa6c39570,2026-07-22 18:37:04,2026-07-22 18:37:04,HNU21006,181,76,25,男,左手佩戴,150,M
d72cb867e30342acb0b3e151111820e0_HNU21014_F0:FA:C7:49:69:7E,d72cb867e30342acb0b3e151111820e0,2026-07-22 16:50:24,2026-07-22 16:50:24,HNU21014,168,70,25,男,左手佩戴,150,M
1eeb0b499d674a78ac0f2ff58ec4cee9_HNU21025_F0:FA:C7:49:67:DE,1eeb0b499d674a78ac0f2ff58ec4cee9,2026-07-22 12:41:51,2026-07-22 12:41:51,HNU21025,178,68,26,男,左手佩戴,150,M
0e5a3c71c1244bc2ba9c2879c143e77c_7DE_F0:FA:C7:49:67:DE,0e5a3c71c1244bc2ba9c2879c143e77c,2026-07-22 12:34:14,2026-07-22 12:34:14,7DE,170,60,26,男,左手佩戴,150,M
40c50fa2dfe54755aed56bfb20c64ff0_HNU21007_F0:FA:C7:49:69:8E,40c50fa2dfe54755aed56bfb20c64ff0,2026-07-22 12:28:49,2026-07-22 12:28:49,HNU21007,178,69,23,男,左手佩戴,150,M
40c50fa2dfe54755aed56bfb20c64ff0_HNU_F0:FA:C7:49:69:8E,40c50fa2dfe54755aed56bfb20c64ff0,2026-07-21 23:32:20,2026-07-21 23:32:20,HNU,178,68,23,男,左手佩戴,150,M
